:START_ID,:END_ID,:TYPE
Topic_Principle_Principle3,Disclosure_Q4_-3123861077020305546,contains
Disclosure_Q4_-3123861077020305546,Topic_Principle_Principle3,belongsToTopic
Topic_Principle_Principle3,Disclosure_Q6_3907764899961729686,contains
Disclosure_Q6_3907764899961729686,Topic_Principle_Principle3,belongsToTopic
Topic_Principle_Principle3,Disclosure_Q10_4161507832348123442,contains
Disclosure_Q10_4161507832348123442,Topic_Principle_Principle3,belongsToTopic
Topic_Principle_Principle3,Disclosure_Q12_-2249747808568790235,contains
Disclosure_Q12_-2249747808568790235,Topic_Principle_Principle3,belongsToTopic
Topic_Principle_Principle3,Disclosure_Q14_-7926207826839177328,contains
Disclosure_Q14_-7926207826839177328,Topic_Principle_Principle3,belongsToTopic
Topic_Principle_Principle3,Disclosure_Q4_-6760028629458676025,contains
Disclosure_Q4_-6760028629458676025,Topic_Principle_Principle3,belongsToTopic
Topic_C,Topic_Principle_Principle4,contains
Topic_Principle_Principle4,Topic_C,childOf
Topic_Principle_Principle4,Disclosure_Q1_991886090062196846,contains
Disclosure_Q1_991886090062196846,Topic_Principle_Principle4,belongsToTopic
Topic_Principle_Principle4,Disclosure_Q2_1920508722239472189,contains
Disclosure_Q2_1920508722239472189,Topic_Principle_Principle4,belongsToTopic
Topic_Principle_Principle4,Disclosure_Q1_5527958902670489695,contains
Disclosure_Q1_5527958902670489695,Topic_Principle_Principle4,belongsToTopic
Topic_C,Topic_Principle_Principle5,contains
Topic_Principle_Principle5,Topic_C,childOf
Topic_Principle_Principle5,Disclosure_Q3_-2317914256164085455,contains
Disclosure_Q3_-2317914256164085455,Topic_Principle_Principle5,belongsToTopic
Topic_Principle_Principle5,Disclosure_Q4_-1901395924236537313,contains
Disclosure_Q4_-1901395924236537313,Topic_Principle_Principle5,belongsToTopic
Topic_Principle_Principle5,Disclosure_Q7_3167174011234362400,contains
Disclosure_Q7_3167174011234362400,Topic_Principle_Principle5,belongsToTopic
Topic_Principle_Principle5,Disclosure_Q8_-4444341060604033333,contains
Disclosure_Q8_-4444341060604033333,Topic_Principle_Principle5,belongsToTopic
Topic_Principle_Principle5,Disclosure_Q9_-4734510892370556029,contains
Disclosure_Q9_-4734510892370556029,Topic_Principle_Principle5,belongsToTopic
Topic_Principle_Principle5,Disclosure_Q1_6088715793221866031,contains
Disclosure_Q1_6088715793221866031,Topic_Principle_Principle5,belongsToTopic
Topic_Principle_Principle5,Disclosure_Q2_-40429986442686167,contains
Disclosure_Q2_-40429986442686167,Topic_Principle_Principle5,belongsToTopic
Topic_Principle_Principle5,Disclosure_Q3_5393232696613216204,contains
Disclosure_Q3_5393232696613216204,Topic_Principle_Principle5,belongsToTopic
Topic_C,Topic_Principle_Principle6,contains
Topic_Principle_Principle6,Topic_C,childOf
Topic_Principle_Principle6,Disclosure_Q1_-7605476517899833912,contains
Disclosure_Q1_-7605476517899833912,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q2_6171478959439255178,contains
Disclosure_Q2_6171478959439255178,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q3_-4999668360558070019,contains
Disclosure_Q3_-4999668360558070019,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q4_1874396111599425017,contains
Disclosure_Q4_1874396111599425017,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q5_8637121145400939773,contains
Disclosure_Q5_8637121145400939773,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q6_-5874270398555975595,contains
Disclosure_Q6_-5874270398555975595,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q7_-7154105830269047396,contains
Disclosure_Q7_-7154105830269047396,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q8_1419484420242406593,contains
Disclosure_Q8_1419484420242406593,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q9_-1180754342078183070,contains
Disclosure_Q9_-1180754342078183070,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q11_1366600324960417183,contains
Disclosure_Q11_1366600324960417183,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q12_1371309414590748650,contains
Disclosure_Q12_1371309414590748650,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q1_-2941116562953374489,contains
Disclosure_Q1_-2941116562953374489,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q2_294300574630310733,contains
Disclosure_Q2_294300574630310733,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q3_937559134512949447,contains
Disclosure_Q3_937559134512949447,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q4_-6382315562112869290,contains
Disclosure_Q4_-6382315562112869290,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q7_-6135229753112979571,contains
Disclosure_Q7_-6135229753112979571,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q8_-8405331482717645114,contains
Disclosure_Q8_-8405331482717645114,Topic_Principle_Principle6,belongsToTopic
Topic_Principle_Principle6,Disclosure_Q9_-7969144881968328141,contains
Disclosure_Q9_-7969144881968328141,Topic_Principle_Principle6,belongsToTopic
Topic_C,Topic_Principle_Principle7,contains
Topic_Principle_Principle7,Topic_C,childOf
Topic_Principle_Principle7,Disclosure_Q1_-2404243060544308884,contains
Disclosure_Q1_-2404243060544308884,Topic_Principle_Principle7,belongsToTopic
Topic_Principle_Principle7,Disclosure_Q2_3964124706495384678,contains
Disclosure_Q2_3964124706495384678,Topic_Principle_Principle7,belongsToTopic
Topic_Principle_Principle7,Disclosure_Q1_-7589029273317480447,contains
Disclosure_Q1_-7589029273317480447,Topic_Principle_Principle7,belongsToTopic
Topic_C,Topic_Principle_Principle8,contains
Topic_Principle_Principle8,Topic_C,childOf
Topic_Principle_Principle8,Disclosure_Q1_-2582330184210767677,contains
Disclosure_Q1_-2582330184210767677,Topic_Principle_Principle8,belongsToTopic
Topic_Principle_Principle8,Disclosure_Q2_6267500162017998685,contains
Disclosure_Q2_6267500162017998685,Topic_Principle_Principle8,belongsToTopic
Topic_Principle_Principle8,Disclosure_Q3_3686134045272743653,contains
Disclosure_Q3_3686134045272743653,Topic_Principle_Principle8,belongsToTopic
Topic_Principle_Principle8,Disclosure_Q4_-2907425612335370407,contains
Disclosure_Q4_-2907425612335370407,Topic_Principle_Principle8,belongsToTopic
Topic_Principle_Principle8,Disclosure_Q1_-7024612116224278638,contains
Disclosure_Q1_-7024612116224278638,Topic_Principle_Principle8,belongsToTopic
Topic_Principle_Principle8,Disclosure_Q2_1620615386017990737,contains
Disclosure_Q2_1620615386017990737,Topic_Principle_Principle8,belongsToTopic
Topic_Principle_Principle8,Disclosure_Q3_-3206953122699448029,contains
Disclosure_Q3_-3206953122699448029,Topic_Principle_Principle8,belongsToTopic
Topic_Principle_Principle8,Disclosure_Q4_-7047970970157743417,contains
Disclosure_Q4_-7047970970157743417,Topic_Principle_Principle8,belongsToTopic
Topic_Principle_Principle8,Disclosure_Q5_-7897665107139995218,contains
Disclosure_Q5_-7897665107139995218,Topic_Principle_Principle8,belongsToTopic
Topic_C,Topic_Principle_Principle9,contains
Topic_Principle_Principle9,Topic_C,childOf
Topic_Principle_Principle9,Disclosure_Q1_4311818261372138569,contains
Disclosure_Q1_4311818261372138569,Topic_Principle_Principle9,belongsToTopic
Topic_Principle_Principle9,Disclosure_Q2_-6323523607041347652,contains
Disclosure_Q2_-6323523607041347652,Topic_Principle_Principle9,belongsToTopic
