id:ID,name,label:LABEL,identifier,text,sourceDocument,pageStart,pageEnd,sectionLabel
Framework_ESRS_20E3_20Delegated_act_2023_5303_annex_1_en_pdf,ESRS_20E3_20Delegated-act-2023-5303-annex-1_en,Framework,ESRS,,ESRS_20E3_20Delegated-act-2023-5303-annex-1_en.pdf,,,
Topic_ESRS_E3,ESRS E3 Standard,Topic,ESRS E3,,ESRS_20E3_20Delegated-act-2023-5303-annex-1_en.pdf,1,11,ESRS E3 Standard
Topic_ESRS_E3,ESRS E3 WATER AND MARINE RESOURCES Table of contents,Topic,ESRS E3,,ESRS_20E3_20Delegated-act-2023-5303-annex-1_en.pdf,1,3,ESRS E3 WATER AND MARINE RESOURCES Table of contents
Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_water_and_marine_resources_rela,"IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks a",Disclosure,IRO-1 – Description of the processes to identify and assess material water and marine resources-rela,"IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities o Disclosure Requirement E3-1 – Policies related to water and marine resources o Disclosure Requirement E3-2 – Actions and resources related to water and marine resources Metrics and targets o Disclosure Requirement E3-3 – Targets related to water and marine resources o Disclosure Requirement E3-4 – Water consumption o Disclosure Requirement E3-5 – Anticipated financial effects from water and marine",ESRS_20E3_20Delegated-act-2023-5303-annex-1_en.pdf,1,1,"IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks a"
Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_water_and_marine_resources_rela,"IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks a",Disclosure,IRO-1 – Description of the processes to identify and assess material water and marine resources-rela,"IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities o Disclosure Requirement E3-1 – Policies related to water and marine resources o",ESRS_20E3_20Delegated-act-2023-5303-annex-1_en.pdf,1,1,"IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks a"
Disclosure_Disclosure_Requirement_E3_2_Actions_and_resources_related_to_water_and_marine_resources_policies_M,Disclosure Requirement E3-2 – Actions and resources related to water and marine resources policies Metrics and targets o,Disclosure,Disclosure Requirement E3-2 – Actions and resources related to water and marine resources policies M,Disclosure Requirement E3-2 – Actions and resources related to water and marine resources policies Metrics and targets o Disclosure Requirement E3-3 – Targets related to water and marine resources o Disclosure Requirement E3-4 – Water consumption o Disclosure Requirement E3-5 – Anticipated financial effects from water and marine,ESRS_20E3_20Delegated-act-2023-5303-annex-1_en.pdf,1,3,Disclosure Requirement E3-2 – Actions and resources related to water and marine resources policies Metrics and targets o
Requirement_-6728101380895215543,Objective,Requirement,Objective,"1. The objective of this Standard is to specify Disclosure Requirements which will enable users of the sustainability statement to understand: (a) how the undertaking affects water and marine resources , in terms of material positive and negative actual or potential impacts ; (b) any actions taken, and the result of such actions to prevent or mitigate material actual or potential negative impacts, to protect water and marine resources, also with reference to reduction of water consumption , and to address risks and opportunities ; (c) whether, how and to what extent the undertaking contributes to the European Green Deal’s ambitions for fresh air, clean water, healthy soil and biodiversity , as well as to the sustainability of the blue economy and fisheries sectors, taking account of the following: Directive 2000/60/EC of the European Parliament and of the Council 1 (EU 1 Directive 2000/60/EC of the European Parliament and of the Council of 23 October 2000 establishing a framework for Community action in the field of water policy (Water Framework Directive) (OJ L 327, 22.12.2000, p. 1). 1 Water Framework Directive), Directive 2008/56/EC of the European Parliament and of the Council 2 (EU Marine Strategy Framework Directive), Directive 2014/89/EU of the European Parliament and of the Council 3 (EU Maritime Spatial Planning Directive), the Sustainable Development Goals (in particular SDG 6 Clean water and sanitation and 14 Life below water), and respect of global environmental limits (e.g. biosphere integrity , ocean acidification, freshwater use, and biogeochemical flows planetary boundaries ); (d) the plans and capacity of the undertaking to adapt its strategy and business model in line with the promotion of sustainable water use based on long-term protection of available water resources; protection of aquatic ecosystems and restoration of freshwater and marine habitats ; (e) the nature, type and extent of the undertaking’s material risks and opportunities arising from the undertaking’s impacts and dependencies on water and marine resources , and how the undertaking manages them; and (f) the financial effects on the undertaking over the short-, medium- and long-term of material risks and opportunities arising from the undertaking’s impacts and dependencies on water and marine resources. 2. This Standard sets out Disclosure Requirements related to water and marine resources . With regard to “water”, this standard covers surface water and groundwater . It includes disclosure requirements on water consumption in the undertaking’s activities, products and services, as well as related information on water withdrawals and water discharges . 3. With regard to “ marine resources ”, this standard covers the extraction and use of such resources, and associated economic activities.",ESRS_20E3_20Delegated-act-2023-5303-annex-1_en.pdf,1,2,Objective
Requirement_-5124755573744078341,Interaction with other ESRS,Requirement,Interaction with other ESRS,"4. The topic of water and marine resources is closely connected to other environmental sub- topics such as climate change, pollution , biodiversity and circular economy. Thus, to provide a comprehensive overview of what could be material to water and marine resources, relevant Disclosure Requirements are covered in other environmental ESRS as follows: (a) ESRS E1 Climate change , which addresses, in particular, acute and chronic physical risks which arise from water and ocean-related hazards caused or exacerbated by climate change, including increasing water temperature, changing precipitation patterns and types (rain, hail, snow/ice), precipitation or hydrological variability, ocean acidification, saline intrusion, sea level rise, drought, high water stress, heavy precipitation, flood and glacial lake outbursts; (b) ESRS E2 Pollution , which addresses, in particular, the emissions to water, which includes emissions to oceans, and the use and generation of microplastics; (c) ESRS E4 Biodiversity and ecosystems , which addresses, in particular, the conservation and sustainable use of and impact on freshwater aquatic ecosystems as well as the oceans and seas; and (d) ESRS E5 Resource use and circular economy which addresses in particular waste management including plastic, and the transition towards the extraction of nonrenewable resources of wastewater ; reduced use of plastic; and the recycling of wastewater. 2 Directive 2008/56/EC of the European Parliament and of the Council of 17 June 2008 establishing a framework for community action in the field of marine environmental policy (Marine Strategy Framework Directive) (OJ L 164, 25.6.2008, p. 19). 3 Directive 2014/89/EU of the European Parliament and of the Council of 23 July 2014 establishing a framework for maritime spatial planning (OJ L 257, 28.8.2014, p. 135). 2 5. The undertaking’s impacts on water and marine resources affect people and communities. Material negative impacts on affected communities from water and marine resources related impacts attributable to the undertaking are covered in ESRS S3 Affected communities . 6. This Standard should be read in conjunction with ESRS 1 General requirements and ESRS 2 General disclosures . Disclosure requirements",ESRS_20E3_20Delegated-act-2023-5303-annex-1_en.pdf,2,3,Interaction with other ESRS
Topic_ESRS_2,ESRS 2 General disclosures,Topic,ESRS 2,"7. The requirements of this section should be read in conjunction with and reported alongside  the disclosures required by ESRS 2 chapter 4 Impact, risk and opportunity management . Impact, risk and opportunity management",ESRS_20E3_20Delegated-act-2023-5303-annex-1_en.pdf,3,7,ESRS 2 General disclosures
Disclosure_Disclosure_Requirement_related_to_ESRS_2_IRO_1_Description_of_the_processes_to_identify_and_assess,Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and ,Disclosure,Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess,"Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and marine resources-related impacts, risks and opportunities 8. The undertaking shall describe the process to identify material impacts, risks and opportunities and shall provide information on: (a) whether and how the undertaking it has screened its assets and activities in order to identify its actual and potential water and marine resources -related impacts, risks and opportunities in its own operations and its upstream and downstream value chain , and if so the methodologies, assumptions and tools used in the screening; (b) whether and how it has conducted consultations, in particular, with affected communities 4 . Disclosure Requirement E3-1 – Policies related to water and marine resources 9. The undertaking shall describe its policies adopted to manage its material impacts, risks and opportunities related to water and marine resources 5 . 10. The objective of this Disclosure Requirement is to enable an understanding of the extent to which the undertaking has policies that address the identification, assessment, management and/or remediation of its material water and marine resources -related impacts, risks and opportunities . 11. The disclosure required by paragraph 9 shall contain the information on the policies the undertaking has in place to manage its material impacts, risks and opportunities related to water and marine resources in accordance with ESRS 2 MDR-P Policies adopted to manage material sustainability matters . 4 Source: IFC Performance Standard 6, 2012. 5 This information supports the information needs of financial market participants subject to Regulation (EU) 2019/2088 because it is derived from an additional indicator related to principal adverse impacts as set out by indicator #7 in Table II of Annex I of Commission Delegated Regulation (EU) 2022/1288 with regard to disclosure rules on sustainable investments (“Investments in companies without water management policies”). 3 12. The undertaking shall indicate whether and how its policies address the following matters where material: (a) water management including: i. the use and sourcing of water and marine resources in its own operations; ii. water treatment as a step towards more sustainable sourcing of water; and iii. the prevention and abatement of water pollution resulting from its activities. (b) product and service design in view of addressing water-related issues and the preservation of marine resources; and (c) commitment to reduce material water consumption in areas at water risk in its own operations and along the upstream and downstream value chain. 13. If at least one of the sites of the undertaking is located in an area of high-water stress and it is not covered by a policy , the undertaking shall state this to be the case and provide reasons for not having adopted such a policy. The undertaking may disclose a timeframe in which it aims to adopt such a policy. 6 14. The undertaking shall specify whether it has adopted policies or practices related to sustainable oceans and seas 7 . Disclosure Requirement E3-2 – Actions and resources related to water and marine resources 15. The undertaking shall disclose its water and marine resources-related actions and the resources allocated to their implementation. 16. The objective of this Disclosure Requirement is to enable an understanding of the key actions taken and planned to achieve the water and marine resources -related policy objectives and targets . 17. The description of the actions and resources shall follow the principles defined in ESRS 2 MDR- A Actions and resources in relation to material sustainability matters . In addition to ESRS 2 MDR- A, the undertaking may specify to which layer in the mitigation hierarchy an action and 18. Resources can be allocated to: (a) avoid the use of water and marine resources ; (b) reduce the use of water and marine resources such as through efficiency measures; (c) reclaiming and reuse of water; or (d) restoration and regeneration of aquatic ecosystem and water bodies. 19. The undertaking shall specify actions and resources in relation to areas at water risk , including areas of high-water stress . 6 This information supports the information needs of financial market participants subject to Regulation (EU) 2019/2088 because it is derived from an additional indicator related to principal adverse impacts as set out by indicator #8 in Table II of Annex I of Commission Delegated Regulation (EU) 2022/1288 with regard to disclosure rules on sustainable investments (“Exposure to areas of high water stress”). 7 This information supports the information needs of financial market participants subject to Regulation (EU) 2019/2088 because it is derived from an additional indicator related to principal adverse impacts as set out by indicator #12 in Table II of Annex I of Commission Delegated Regulation (EU) 2022/1288 with regard to disclosure rules on sustainable investments ( “Investments in companies without sustainable oceans/seas practices”). 4",ESRS_20E3_20Delegated-act-2023-5303-annex-1_en.pdf,3,4,Disclosure Requirement related to ESRS 2 IRO-1 – Description of the processes to identify and assess material water and 
