:START_ID,:END_ID,:TYPE
Topic_Topic_11_5_Waste,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_6_Water_and_effluents,contains
Topic_Topic_11_6_Water_and_effluents,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_7_Closure_and_rehabilitation,contains
Topic_Topic_11_7_Closure_and_rehabilitation,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_8_Asset_integrity_and_critical_incident_m,contains
Topic_Topic_11_8_Asset_integrity_and_critical_incident_m,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_9_Occupational_health_and_safety,contains
Topic_Topic_11_9_Occupational_health_and_safety,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_10_Employment_practices,contains
Topic_Topic_11_10_Employment_practices,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_11_Non_discrimination_and_equal_opportuni,contains
Topic_Topic_11_11_Non_discrimination_and_equal_opportuni,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_12_Forced_labor_and_modern_slavery,contains
Topic_Topic_11_12_Forced_labor_and_modern_slavery,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_13_Freedom_of_association_and_collective,contains
Topic_Topic_11_13_Freedom_of_association_and_collective,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_14_Economic_impacts,contains
Topic_Topic_11_14_Economic_impacts,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_15_Local_communities,contains
Topic_Topic_11_15_Local_communities,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_16_Land_and_resource_rights,contains
Topic_Topic_11_16_Land_and_resource_rights,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_17_Rights_of_Indigenous_Peoples,contains
Topic_Topic_11_17_Rights_of_Indigenous_Peoples,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_18_Conflict_and_security,contains
Topic_Topic_11_18_Conflict_and_security,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_19_Anti_competitive_behavior,contains
Topic_Topic_11_19_Anti_competitive_behavior,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_20_Anti_corruption,contains
Topic_Topic_11_20_Anti_corruption,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
Topic_GRI_11_Oil_and_Gas_Sector_2021,Topic_Topic_11_21_Payments_to_governments,contains
Topic_Topic_11_21_Payments_to_governments,Topic_GRI_11_Oil_and_Gas_Sector_2021,belongsToTopic
